Product_Name,Price,Ratings,Product_Link
"Lenovo IdeaPad 3 14"" Laptop, 14.0"" FHD (1920 x 1080) Display, AMD Ryzen 5 3500U Processor, 8GB DDR4 RAM, 256GB SSD, AMD Radeon Vega 8 Graphics, Narrow Bezel, Windows 10, 81W0003QUS, Abyss Blue",$449.99,3.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A0297331Z50AE1TOREMZ&url=%2FLenovo-IdeaPad-Processor-Graphics-81W0003QUS%2Fdp%2FB0862269YP%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1594146124%26sr%3D8-49-spons%26psc%3D1&qualifier=1594146124&id=5024203806769367&widgetName=sp_atf_next
"BMAX 13.3"" 2 in 1 FHD Touchscreen Laptop Computer, Intel Quad-Core Celeron N4120, 8GB DDR4, 256GB M.2 SSD, 2 Type-C Ports, LED Backlit Keyboard, AC WiFi + BT 5.0, Windows 10, All-Metal Body",$384.00,3.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A073164717S895HFDZV0R&url=%2FConvertible-Touchscreen-Backlit-Keyboard-All-Metal%2Fdp%2FB07XMDTNYQ%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1594146124%26sr%3D8-50-spons%26psc%3D1&qualifier=1594146124&id=5024203806769367&widgetName=sp_atf_next
"Dell Latitude E6430 14.1-Inch Business Laptop PC, Intel Core i5 2.6GHz Processor, 8GB DDR3 RAM, 320GB HDD, DVD, Windows 10 Professional (Renewedd)",$249.99,3.4 out of 5 stars,https://www.amazon.com/Dell-Latitude-E6430-Professional-Refurbishedd/dp/B01LX4PE0S/ref=sr_1_51?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-51
"2019 Dell G3 Gaming Laptop Computer| 15.6"" FHD Screen| 9th Gen Intel Quad-Core i5-9300H up to 4.1GHz| 8GB DDR4| 512GB PCIE SSD| GeForce GTX 1660 Ti 6GB| USB 3.0| HDMI| Windows 10",$909.00,4.1 out of 5 stars,https://www.amazon.com/Dell-G3-Gaming-Computer-Quad-Core/dp/B07VKZY7KV/ref=sr_1_52?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-52
"Dell Premium Inspiron 5575 15.6-inch Touchscreen FHD (1920 x 1080) Display Laptop PC, AMD Quad-Core Ryzen 5 2500U up to 3.6 GHz, HDMI, MaxxAudio Pro, Bluetooth, Backlit Keyboard, Windows 10",$604.99,3.2 out of 5 stars,https://www.amazon.com/Dell-Inspiron-5575-Touchscreen-FHD/dp/B07TXJR72G/ref=sr_1_53?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-53
"Dell Inspiron 15 5000 Laptop, 15.6-Inch FHD (1920 X 1080) IPS, Intel i7-8565, Nvidia(R) Geforce(R) MX250 with 2GB Gddr, 8GB DDR4 RAM, 128 GB SSD+1TB HD",$0,3.8 out of 5 stars,https://www.amazon.com/Dell-Inspiron-15-6-Inch-i7-8565-Geforce/dp/B07PZQ9LSN/ref=sr_1_54?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-54
"Dell Inspiron 15 5000 Series Laptop, 15.6"" Full HD Touchscreen, Intel Core i3-8130U Processor up to 3.40GHz, 8GB DDR4 RAM, 128GB PCIe NVMe M.2 SSD, HDMI, Wireless-AC, Bluetooth, Windows 10 Home, Black",$543.00,4.2 out of 5 stars,https://www.amazon.com/Dell-Inspiron-Touchscreen-Processor-Wireless-AC/dp/B0864X7RTG/ref=sr_1_55?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-55
"Dell XPS 15 laptop 15.6"", 4K UHD InfinityEdge Touch, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1650 4GB GDDR5, 1TB SSD storage, 16GB RAM, XPS7590-7565SLV-PUS",$0,3.7 out of 5 stars,https://www.amazon.com/Dell-Touch-Intel-NVIDIA-GeForce/dp/B07T4HGF79/ref=sr_1_56?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-56
"Dell Inspiron 17 2-in-1 7786-17.3"" FHD Touch - i7-8565U - NVIDIA MX150-16GB - 1TB HDD","$1,149.00",4.4 out of 5 stars,https://www.amazon.com/Dell-Inspiron-7786-17-3-FHD-Touch/dp/B07MBSJ7PN/ref=sr_1_57?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-57
"2019 Dell Inspiron 3593 Laptop 15.6"", 10th Generation Intel Core i7-1065G7 Processor, 1TB HDD 16GB DDR4 RAM, HDMI, WiFi, Bluetooth, Windows 10, Black",$845.00,4.5 out of 5 stars,https://www.amazon.com/Port%C3%A1til-procesador-i7-1065G7-generaci%C3%B3n-Bluetooth/dp/B07YWLS346/ref=sr_1_58?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-58
